"cov","out","hour","data_type","lwr","pe","upr"
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",1,"Effect of a one time 2 article increase at hour 0",0.00276757842968278,0.00637924272169377,0.0103751550492577
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",1,"Effect of a structural 2 article point attention increase at hour 0",0.00276757842968278,0.00637924272169377,0.0103751550492577
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",2,"Effect of a one time 2 article increase at hour 0",-0.0104504367134068,-0.00555765116549944,-0.000269745856636638
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",2,"Effect of a structural 2 article point attention increase at hour 0",-0.00817900480439894,-0.000322021592023367,0.00824544489172078
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",3,"Effect of a one time 2 article increase at hour 0",-0.00821397670762325,-0.00235702775346225,0.00417199821062608
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",3,"Effect of a structural 2 article point attention increase at hour 0",-0.0149477378505348,-0.00266975870816899,0.0108604940275113
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",4,"Effect of a one time 2 article increase at hour 0",-0.0158455237106853,-0.00804746858064087,-0.000124512711590863
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",4,"Effect of a structural 2 article point attention increase at hour 0",-0.028050692386813,-0.0102343990932733,0.00872928418828011
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",5,"Effect of a one time 2 article increase at hour 0",-0.0114307337929552,-0.00334610399306412,0.00465247475628372
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",5,"Effect of a structural 2 article point attention increase at hour 0",-0.0343507764310408,-0.0117469179263048,0.0117019898515933
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",6,"Effect of a one time 2 article increase at hour 0",-0.0042862636542087,0.00463627937399735,0.0131832975068933
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",6,"Effect of a structural 2 article point attention increase at hour 0",-0.0322407175143262,-0.00492200729174064,0.0227042781249642
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",7,"Effect of a one time 2 article increase at hour 0",-0.00289606471918435,0.00732054243984193,0.0181717237612051
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",7,"Effect of a structural 2 article point attention increase at hour 0",-0.0290758097852798,0.00333945425726715,0.0366297694949069
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",8,"Effect of a one time 2 article increase at hour 0",-0.00487507318846825,0.00591790869946585,0.016886959521395
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",8,"Effect of a structural 2 article point attention increase at hour 0",-0.0283735703427483,0.00872700831229892,0.0467127646556162
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",9,"Effect of a one time 2 article increase at hour 0",0.00142838311384641,0.0129669250812945,0.025544733416262
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",9,"Effect of a structural 2 article point attention increase at hour 0",-0.0214509219171385,0.0201874090108495,0.0635780787564511
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",10,"Effect of a one time 2 article increase at hour 0",0.00605744573793121,0.0182060684321184,0.0320080041851121
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",10,"Effect of a structural 2 article point attention increase at hour 0",-0.0111547847701875,0.0347538516079783,0.0837435859466072
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",11,"Effect of a one time 2 article increase at hour 0",0.00190254970682258,0.0145537905288751,0.0297579299040698
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",11,"Effect of a structural 2 article point attention increase at hour 0",-0.00688877077937492,0.0429694398989674,0.0978942701983663
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",12,"Effect of a one time 2 article increase at hour 0",-0.00187441121073439,0.00977908842517516,0.0246834150924964
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",12,"Effect of a structural 2 article point attention increase at hour 0",-0.00730224080695385,0.0447746054739861,0.104239515148541
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",13,"Effect of a one time 2 article increase at hour 0",-0.00188171015741057,0.0110098896027742,0.0265911277508493
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",13,"Effect of a structural 2 article point attention increase at hour 0",-0.00780214191987639,0.047287270809883,0.111087084787487
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",14,"Effect of a one time 2 article increase at hour 0",0.0264486105394455,0.0402338685518131,0.0559749630795692
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",14,"Effect of a structural 2 article point attention increase at hour 0",0.0201241797815998,0.0785531181468031,0.146022663832414
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",15,"Effect of a one time 2 article increase at hour 0",0.0325594335631305,0.0454874133840932,0.0603014890093676
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",15,"Effect of a structural 2 article point attention increase at hour 0",0.0490375283941759,0.109292117343253,0.178766565534916
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",16,"Effect of a one time 2 article increase at hour 0",0.0292410655313329,0.0434419627959179,0.0589870402333961
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",16,"Effect of a structural 2 article point attention increase at hour 0",0.0693074222771765,0.13226342770828,0.204022579468322
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",17,"Effect of a one time 2 article increase at hour 0",0.0296001545286673,0.0445487088707166,0.0609776079287929
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",17,"Effect of a structural 2 article point attention increase at hour 0",0.0861799903018428,0.15201871113392,0.226435501219389
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",18,"Effect of a one time 2 article increase at hour 0",0.0431562208266028,0.0576580743479804,0.0732256016771768
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",18,"Effect of a structural 2 article point attention increase at hour 0",0.113606875442791,0.181294961105734,0.256964359941939
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",19,"Effect of a one time 2 article increase at hour 0",0.0478166494994547,0.0636915802583562,0.0810533911943312
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",19,"Effect of a structural 2 article point attention increase at hour 0",0.140590068708476,0.211097576433496,0.289517291902629
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",20,"Effect of a one time 2 article increase at hour 0",0.0381089471640812,0.0551024484662201,0.0740978071903229
"Frankfurter
Allgemeine Zeitung","
Der Spiegel",20,"Effect of a structural 2 article point attention increase at hour 0",0.152685053310305,0.226527561458576,0.308766492790212
